map_id,hsa_id,Term_base,Term_clean,kegg_category,kegg_subcategory
map04068,hsa04068,FoxO signaling pathway,FoxO signaling pathway,Environmental Information Processing,Signal transduction
map04020,hsa04020,Calcium signaling pathway,Calcium signaling pathway,Environmental Information Processing,Signal transduction
map04070,hsa04070,Phosphatidylinositol signaling system,Phosphatidylinositol signaling system,Environmental Information Processing,Signal transduction
map04072,hsa04072,Phospholipase D signaling pathway,Phospholipase D signaling pathway,Environmental Information Processing,Signal transduction
map04071,hsa04071,Sphingolipid signaling pathway,Sphingolipid signaling pathway,Environmental Information Processing,Signal transduction
map04024,hsa04024,cAMP signaling pathway,cAMP signaling pathway,Environmental Information Processing,Signal transduction
map04022,hsa04022,cGMP-PKG signaling pathway,cGMP-PKG signaling pathway,Environmental Information Processing,Signal transduction
map04151,hsa04151,PI3K-Akt signaling pathway,PI3K-Akt signaling pathway,Environmental Information Processing,Signal transduction
map04152,hsa04152,AMPK signaling pathway,AMPK signaling pathway,Environmental Information Processing,Signal transduction
map04150,hsa04150,mTOR signaling pathway,mTOR signaling pathway,Environmental Information Processing,Signal transduction
map04075,hsa04075,Plant hormone signal transduction,Plant hormone signal transduction,Environmental Information Processing,Signal transduction
map04080,hsa04080,Neuroactive ligand-receptor interaction,Neuroactive ligand-receptor interaction,Environmental Information Processing,Signaling molecules and interaction
map04082,hsa04082,Neuroactive ligand signaling,Neuroactive ligand signaling,Environmental Information Processing,Signaling molecules and interaction
map04081,hsa04081,Hormone signaling,Hormone signaling,Environmental Information Processing,Signaling molecules and interaction
map04060,hsa04060,Cytokine-cytokine receptor interaction,Cytokine-cytokine receptor interaction,Environmental Information Processing,Signaling molecules and interaction
map04061,hsa04061,Viral protein interaction with cytokine and cytokine receptor,Viral protein interaction with cytokine and cytokine receptor,Environmental Information Processing,Signaling molecules and interaction
map04512,hsa04512,ECM-receptor interaction,ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction
map04514,hsa04514,Cell adhesion molecule (CAM) interaction,Cell adhesion molecule (CAM) interaction,Environmental Information Processing,Signaling molecules and interaction
map04517,hsa04517,IgSF CAM signaling,IgSF CAM signaling,Environmental Information Processing,Signaling molecules and interaction
map04518,hsa04518,Integrin signaling,Integrin signaling,Environmental Information Processing,Signaling molecules and interaction
map04519,hsa04519,Cadherin signaling,Cadherin signaling,Environmental Information Processing,Signaling molecules and interaction
map04144,hsa04144,Endocytosis,Endocytosis,Cellular Processes,Transport and catabolism
map04145,hsa04145,Phagosome,Phagosome,Cellular Processes,Transport and catabolism
map04142,hsa04142,Lysosome biogenesis,Lysosome biogenesis,Cellular Processes,Transport and catabolism
map04146,hsa04146,Peroxisome,Peroxisome,Cellular Processes,Transport and catabolism
map04140,hsa04140,Autophagy - animal,Autophagy - animal,Cellular Processes,Transport and catabolism
map04138,hsa04138,Autophagy - yeast,Autophagy - yeast,Cellular Processes,Transport and catabolism
map04136,hsa04136,Autophagy - other,Autophagy - other,Cellular Processes,Transport and catabolism
map04137,hsa04137,Mitophagy - animal,Mitophagy - animal,Cellular Processes,Transport and catabolism
map04139,hsa04139,Mitophagy - yeast,Mitophagy - yeast,Cellular Processes,Transport and catabolism
map04148,hsa04148,Efferocytosis,Efferocytosis,Cellular Processes,Transport and catabolism
map04110,hsa04110,Cell cycle,Cell cycle,Cellular Processes,Cell growth and death
map04111,hsa04111,Cell cycle - yeast,Cell cycle - yeast,Cellular Processes,Cell growth and death
map04112,hsa04112,Cell cycle - Caulobacter,Cell cycle - Caulobacter,Cellular Processes,Cell growth and death
map04113,hsa04113,Meiosis - yeast,Meiosis - yeast,Cellular Processes,Cell growth and death
map04114,hsa04114,Oocyte meiosis,Oocyte meiosis,Cellular Processes,Cell growth and death
map04210,hsa04210,Apoptosis,Apoptosis,Cellular Processes,Cell growth and death
map04214,hsa04214,Apoptosis - fly,Apoptosis - fly,Cellular Processes,Cell growth and death
map04215,hsa04215,Apoptosis - multiple species,Apoptosis - multiple species,Cellular Processes,Cell growth and death
map04216,hsa04216,Ferroptosis,Ferroptosis,Cellular Processes,Cell growth and death
map04217,hsa04217,Necroptosis,Necroptosis,Cellular Processes,Cell growth and death
map04115,hsa04115,p53 signaling pathway,p53 signaling pathway,Cellular Processes,Cell growth and death
map04218,hsa04218,Cellular senescence,Cellular senescence,Cellular Processes,Cell growth and death
map04510,hsa04510,Focal adhesion,Focal adhesion,Cellular Processes,Cellular community - eukaryotes
map04520,hsa04520,Adherens junction,Adherens junction,Cellular Processes,Cellular community - eukaryotes
map04530,hsa04530,Tight junction,Tight junction,Cellular Processes,Cellular community - eukaryotes
map04540,hsa04540,Gap junction,Gap junction,Cellular Processes,Cellular community - eukaryotes
map04550,hsa04550,Signaling pathways regulating pluripotency of stem cells,Signaling pathways regulating pluripotency of stem cells,Cellular Processes,Cellular community - eukaryotes
map02024,hsa02024,Quorum sensing,Quorum sensing,Cellular Processes,Cellular community - prokaryotes
map05111,hsa05111,Biofilm formation - Vibrio cholerae,Biofilm formation - Vibrio cholerae,Cellular Processes,Cellular community - prokaryotes
map02025,hsa02025,Biofilm formation - Pseudomonas aeruginosa,Biofilm formation - Pseudomonas aeruginosa,Cellular Processes,Cellular community - prokaryotes
map02026,hsa02026,Biofilm formation - Escherichia coli,Biofilm formation - Escherichia coli,Cellular Processes,Cellular community - prokaryotes
map02030,hsa02030,Bacterial chemotaxis,Bacterial chemotaxis,Cellular Processes,Cell motility
map02040,hsa02040,Flagellar assembly,Flagellar assembly,Cellular Processes,Cell motility
map04814,hsa04814,Motor proteins,Motor proteins,Cellular Processes,Cell motility
map04820,hsa04820,Cytoskeleton in muscle cells,Cytoskeleton in muscle cells,Cellular Processes,Cell motility
map04810,hsa04810,Regulation of actin cytoskeleton,Regulation of actin cytoskeleton,Cellular Processes,Cell motility
map04640,hsa04640,Hematopoietic cell lineage,Hematopoietic cell lineage,Organismal Systems,Immune system
map04610,hsa04610,Complement and coagulation cascades,Complement and coagulation cascades,Organismal Systems,Immune system
map04611,hsa04611,Platelet activation,Platelet activation,Organismal Systems,Immune system
map04613,hsa04613,Neutrophil extracellular trap formation,Neutrophil extracellular trap formation,Organismal Systems,Immune system
map04620,hsa04620,Toll-like receptor signaling pathway,Toll-like receptor signaling pathway,Organismal Systems,Immune system
map04624,hsa04624,Toll and Imd signaling pathway,Toll and Imd signaling pathway,Organismal Systems,Immune system
map04621,hsa04621,NOD-like receptor signaling pathway,NOD-like receptor signaling pathway,Organismal Systems,Immune system
map04622,hsa04622,RIG-I-like receptor signaling pathway,RIG-I-like receptor signaling pathway,Organismal Systems,Immune system
map04623,hsa04623,Cytosolic DNA-sensing pathway,Cytosolic DNA-sensing pathway,Organismal Systems,Immune system
map04625,hsa04625,C-type lectin receptor signaling pathway,C-type lectin receptor signaling pathway,Organismal Systems,Immune system
map04650,hsa04650,Natural killer cell mediated cytotoxicity,Natural killer cell mediated cytotoxicity,Organismal Systems,Immune system
